,set_A,set_B
satisfaction,0.0006795839454872832,0.0004094025610581253
institutional_trust,0.002543709087200585,0.0038576444787904894
civic_engagement,0.0049686874886496705,0.005261991621016327
socio_economic,0.008148721683605654,0.007329984826700197
socio_demographic,0.027570380764024273,0.027685177446940167
political_interest,0.046588574458652256,0.04944013030412686
