model,train_pr_auc,val_pr_auc,gap
RF (A),0.9922693781607406,0.9279381136654292,0.06433126449531135
RF (B),0.9891934304112844,0.9262542557535958,0.06293917465768861
GBM (A),0.9544321828352369,0.9324496662965505,0.021982516538686436
GBM (B),0.9513278058935758,0.9307932286986653,0.020534577194910475
LR (A),0.9301072065249026,0.9265917624566652,0.00351544406823745
LR (B),0.9298736336967484,0.9265277617985039,0.0033458718982444235
