SES quartile,1,2,3,4
1,0.6212389380530974,0.7105788423153693,0.7506631299734748,0.7964601769911505
2,0.7002053388090349,0.7301587301587301,0.7803030303030303,0.84375
3,0.713963963963964,0.7946768060836502,0.810126582278481,0.8869346733668342
4,0.8007662835249042,0.8255813953488372,0.8725,0.9211409395973155
